Id,Title,Labels,Iteration,Iteration Start,Iteration End,Type,Estimate,Current State,Created at,Accepted at,Deadline,Requested By,Description,URL,Owned By,Owned By,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status
136638559,Delete Customer Information,customer,6,14-Nov-16,18-Nov-16,feature,2,accepted,14-Nov-16,19-Nov-16,,Kong Yi Ting,"As a staff, I can delete the unwanted customer",https://www.pivotaltracker.com/story/show/136638559,limyouhui,Tern Jingwei,Design delete customer UI,completed,Add input verification to UI page,completed,Error message when invalid ID,completed,Code controller to retrieve specific customer data from database,completed,Code controller to delete specific customer data from database,completed
136638421,Update Customer Information,customer,6,14-Nov-16,18-Nov-16,feature,2,accepted,14-Nov-16,19-Nov-16,,Kong Yi Ting,"As a staff, I can update customer information",https://www.pivotaltracker.com/story/show/136638421,Kong Yi Ting,Lee,Design update customer UI,completed,Add input verification to UI page,completed,Error Message when blank text field,completed,Code controller to retrieve specific customer data from database,completed,Code controller to update new specific customer data to database,completed
136637893,View Customer Information,customer,6,14-Nov-16,18-Nov-16,feature,1,accepted,14-Nov-16,19-Nov-16,,Kong Yi Ting,"As a staff, I can view customer information",https://www.pivotaltracker.com/story/show/136637893,limyouhui,Tern Jingwei,Design view customer UI,completed,Code controller to get specific customer data from database,completed,,,,,,
136637885,Customer registration,customer,6,14-Nov-16,18-Nov-16,feature,2,accepted,14-Nov-16,19-Nov-16,,Kong Yi Ting,"As a staff, I can add new customer as a member",https://www.pivotaltracker.com/story/show/136637885,Lee,Kong Yi Ting,Create customer table in database,completed,Design add customer UI,completed,Add input verification to UI page,completed,Error message when blank text field,completed,Code controller to save customer data to database,completed
136639019,View Room Information,room,6,14-Nov-16,18-Nov-16,feature,1,finished,16-Nov-16,,,Tern Jingwei,"As a staff, I can view room information",https://www.pivotaltracker.com/story/show/136639019,Tern Jingwei,Lee,Design view room UI,completed,Code controller to get specific room data from database,completed,,,,,,
136639007,Add New Room Information,room,6,14-Nov-16,18-Nov-16,feature,2,started,16-Nov-16,,,Tern Jingwei,"As a staff, I can add new room information",https://www.pivotaltracker.com/story/show/136639007,Kong Yi Ting,limyouhui,Create room table in database,completed,Design add room UI,completed,Add input verification to UI page,not completed,Error message when blank text field,not completed,Code controller to save room data to database,not completed
136639045,Delete Room Information,room,,,,feature,2,unscheduled,18-Nov-16,,,Tern Jingwei,"As a staff, I can delete unwanted room information",https://www.pivotaltracker.com/story/show/136639045,Kong Yi Ting,limyouhui,Design delete room UI,not completed,Add input verification to UI page,not completed,Error message when invalid ID,not completed,Code controller to retrieve specific room data from database,not completed,Code controller to delete specific room data from database,not completed
136639033,Update Room Information,room,,,,feature,2,unscheduled,18-Nov-16,,,Tern Jingwei,"As a staff, I can update room information",https://www.pivotaltracker.com/story/show/136639033,Tern Jingwei,Lee,Design update room UI,not completed,Add input verification to UI page,not completed,Error message when blank text field,not completed,Code controller to retrieve specific room data from database,not completed,Code controller to update new specific room data to database,not completed
